Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L],CDW_1 [g/L],CDW_2 [g/L],CDW_3 [g/L]
DDB_PD_122_AMBR_R09__S01,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT178-002_R09_Main_,R09,S01,12.25308071,7.0,7.33,11.968099519603498,0.6178038364432801,0.18273786113902302,0.0,0.0,0.0,8.7187064398845,0.290624880159161,0.0,3.2000000000000917,3.2000000000000917,3.6000000000000476
DDB_PD_122_AMBR_R09__S02,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT178-002_R09_Main_,R09,S02,21.9743436,5.0,30.48,0.0,0.0,0.175493866764828,0.0,0.0,0.0,5.23351647230705,0.0,0.0,8.399999999999963,8.69999999999993,8.599999999999941
DDB_PD_122_AMBR_R09__S03,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT178-002_R09_Main_,R09,S03,42.03961125,5.5,80.475,0.0,0.0,0.31824625639340953,0.0,0.0,0.0,7.5435821697759495,0.0,0.0,21.166666666666558,21.333333333333577,21.166666666666558
DDB_PD_122_AMBR_R09__S04,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT178-002_R09_Main_,R09,S04,62.04816219,5.5,158.65,0.0,0.0,0.200159211646941,0.0,0.0,0.0,5.383331724584551,0.0,0.112387261609685,46.85714285714277,47.28571428571447,47.71428571428585
DDB_PD_122_AMBR_R09__S05,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT178-002_R09_Main_,R09,S05,82.0404254,7.5,301.5,0.0,0.10963099646875951,0.27642273491145447,0.0,0.36208440362899946,0.0,3.453086206267205,0.0,0.43647070381082753,81.5999999999999,81.90000000000008,81.90000000000008
DDB_PD_122_AMBR_R11__S01,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT180-003_R11_Main_,R11,S01,12.03724872,7.0,2.975,13.9007503332734,0.0,0.1787201809161435,0.0,0.0,0.0,8.509441334377799,0.0,0.0,1.4999999999998348,2.4999999999999467,2.9999999999998916
DDB_PD_122_AMBR_R11__S02,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT180-003_R11_Main_,R11,S02,20.35739673,5.0,32.61,0.0,0.0,0.1459536006525045,0.0,0.0,0.0,11.7718542567032,0.0,0.0,11.599999999999833,12.299999999999978,12.499999999999956
DDB_PD_122_AMBR_R11__S03,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT180-003_R11_Main_,R11,S03,40.39796978,5.5,81.75,0.0,0.0,0.108265583169021,0.0,0.0,0.0,7.9443817857865495,0.0,0.0,24.99999999999984,24.499999999999893,
DDB_PD_122_AMBR_R11__S04,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT180-003_R11_Main_,R11,S04,60.39418979999999,5.5,167.95,0.0,0.0,0.0,0.0,0.0,0.0,4.804423542002475,0.0,0.0,53.42857142857157,53.571428571428385,32.14285714285741
DDB_PD_122_AMBR_R11__S05,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT180-003_R11_Main_,R11,S05,80.3926196,7.5,285.1,0.0,0.1070107499518235,0.0,0.0,0.0,0.0,3.96385848133019,0.0,0.375339698691857,89.79999999999988,90.10000000000007,88.79999999999998
DDB_PD_122_AMBR_R13__S01,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT201-002_R13_Main_,R13,S01,12.03659951,7.0,15.785,3.7073749591911795,0.4334857354012905,0.0957153229689435,0.0,0.273707148276968,0.0,4.40311765602701,0.0,0.0,5.400000000000071,5.700000000000038,5.0000000000001155
DDB_PD_122_AMBR_R13__S02,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT201-002_R13_Main_,R13,S02,14.90793672,5.0,31.9,0.0,0.284339696677024,0.0,0.0,0.0,0.0,4.24009299206295,0.0,0.0,9.69999999999982,8.800000000000141,9.000000000000119
DDB_PD_122_AMBR_R13__S03,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT201-002_R13_Main_,R13,S03,34.94615836,5.5,80.0,0.0,0.0,0.2651501316777965,0.0,0.0,0.0,8.57623087534995,0.0,0.0,22.83333333333341,23.166666666666707,23.8333333333333
DDB_PD_122_AMBR_R13__S04,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT201-002_R13_Main_,R13,S04,54.94521342,5.5,149.1,0.0,0.0,0.241715700724387,0.0,0.0,0.0,5.437536839657399,0.0,0.117699504129879,50.499999999999986,50.200000000000024,50.69999999999997
DDB_PD_122_AMBR_R13__S05,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT201-002_R13_Main_,R13,S05,74.94345783,7.5,291.8,0.0,0.0,0.381799325665079,0.0,0.0,0.0,3.576090245488035,0.0,0.377406508183323,83.19999999999995,83.29999999999993,82.50000000000001
DDB_PD_122_AMBR_R15__S01,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT202-002_R15_Main_,R15,S01,20.03995541,7.0,15.69,8.36398542878225,0.21122073333789698,0.1574478265756005,0.0,0.193235476669539,0.0,7.4780142146693995,0.0,0.0,6.000000000000005,4.999999999999893,6.000000000000005
DDB_PD_122_AMBR_R15__S02,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT202-002_R15_Main_,R15,S02,25.29761278,5.0,39.65,0.0,0.0,0.1462915485034255,0.0,0.0,0.0,7.2275042621129,0.0,0.0,12.00000000000001,11.099999999999888,10.79999999999992
DDB_PD_122_AMBR_R15__S03,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT202-002_R15_Main_,R15,S03,45.34014565,5.5,99.9,0.0,0.0,0.130868994432962,0.0,0.0,0.0,8.18342771207095,0.0,0.0,25.166666666666856,26.166666666666746,25.166666666666487
DDB_PD_122_AMBR_R15__S04,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT202-002_R15_Main_,R15,S04,65.34033061,5.5,197.05,0.0,0.149081997202988,0.0,0.0,0.413750080887781,0.0,5.05525640001665,0.0,0.0,81.57142857142878,46.714285714285644,49.142857142857125
DDB_PD_122_AMBR_R15__S05,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT202-002_R15_Main_,R15,S05,85.33772579,7.5,378.3,0.0,0.4897458324286705,0.0,0.0,1.498250326714755,0.0,3.245542591241845,0.0,0.39268748978009854,90.10000000000007,89.99999999999986,89.29999999999993
